Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Mar 1 2022,8:00p,Golden State Warriors,,Minnesota Timberwolves,,,,,
Tue Mar 1 2022,10:00p,Dallas Mavericks,,Los Angeles Lakers,,,,,
Wed Mar 2 2022,7:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,
Wed Mar 2 2022,7:00p,Indiana Pacers,,Orlando Magic,,,,,
Wed Mar 2 2022,7:30p,New York Knicks,,Philadelphia 76ers,,,,,
Wed Mar 2 2022,8:00p,Utah Jazz,,Houston Rockets,,,,,
Wed Mar 2 2022,8:00p,Miami Heat,,Milwaukee Bucks,,,,,
Wed Mar 2 2022,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,
Wed Mar 2 2022,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
Wed Mar 2 2022,10:00p,Portland Trail Blazers,,Phoenix Suns,,,,,
Thu Mar 3 2022,7:30p,Memphis Grizzlies,,Boston Celtics,,,,,
Thu Mar 3 2022,7:30p,Miami Heat,,Brooklyn Nets,,,,,
Thu Mar 3 2022,7:30p,Detroit Pistons,,Toronto Raptors,,,,,
Thu Mar 3 2022,8:30p,Golden State Warriors,,Dallas Mavericks,,,,,
Thu Mar 3 2022,8:30p,Sacramento Kings,,San Antonio Spurs,,,,,
Thu Mar 3 2022,10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,
Fri Mar 4 2022,7:00p,Indiana Pacers,,Detroit Pistons,,,,,
Fri Mar 4 2022,7:00p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
Fri Mar 4 2022,7:00p,Atlanta Hawks,,Washington Wizards,,,,,
Fri Mar 4 2022,7:30p,Milwaukee Bucks,,Chicago Bulls,,,,,
Fri Mar 4 2022,8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
Fri Mar 4 2022,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,
Fri Mar 4 2022,9:00p,Houston Rockets,,Denver Nuggets,,,,,
Fri Mar 4 2022,10:00p,New York Knicks,,Phoenix Suns,,,,,
Sat Mar 5 2022,5:00p,Sacramento Kings,,Dallas Mavericks,,,,,
Sat Mar 5 2022,7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,
Sat Mar 5 2022,8:00p,Orlando Magic,,Memphis Grizzlies,,,,,
Sat Mar 5 2022,8:00p,Philadelphia 76ers,,Miami Heat,,,,,
Sat Mar 5 2022,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,
Sat Mar 5 2022,8:30p,Golden State Warriors,,Los Angeles Lakers,,,,,
Sun Mar 6 2022,1:00p,Brooklyn Nets,,Boston Celtics,,,,,
Sun Mar 6 2022,3:30p,Phoenix Suns,,Milwaukee Bucks,,,,,
Sun Mar 6 2022,6:00p,Toronto Raptors,,Cleveland Cavaliers,,,,,
Sun Mar 6 2022,6:00p,Indiana Pacers,,Washington Wizards,,,,,
Sun Mar 6 2022,7:00p,Memphis Grizzlies,,Houston Rockets,,,,,
Sun Mar 6 2022,7:00p,Utah Jazz,,Oklahoma City Thunder,,,,,
Sun Mar 6 2022,7:30p,New York Knicks,,Los Angeles Clippers,,,,,
Sun Mar 6 2022,10:00p,New Orleans Pelicans,,Denver Nuggets,,,,,
Mon Mar 7 2022,7:00p,Atlanta Hawks,,Detroit Pistons,,,,,
Mon Mar 7 2022,7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,
Mon Mar 7 2022,7:30p,Houston Rockets,,Miami Heat,,,,,
Mon Mar 7 2022,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,
Mon Mar 7 2022,8:30p,Utah Jazz,,Dallas Mavericks,,,,,
Mon Mar 7 2022,8:30p,Los Angeles Lakers,,San Antonio Spurs,,,,,
Mon Mar 7 2022,10:00p,New York Knicks,,Sacramento Kings,,,,,
Tue Mar 8 2022,7:00p,Brooklyn Nets,,Charlotte Hornets,,,,,
Tue Mar 8 2022,7:00p,Cleveland Cavaliers,,Indiana Pacers,,,,,
Tue Mar 8 2022,7:00p,Phoenix Suns,,Orlando Magic,,,,,
Tue Mar 8 2022,7:30p,New Orleans Pelicans,,Memphis Grizzlies,,,,,
Tue Mar 8 2022,8:00p,Milwaukee Bucks,,Oklahoma City Thunder,,,,,
Tue Mar 8 2022,10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,
Wed Mar 9 2022,7:00p,Boston Celtics,,Charlotte Hornets,,,,,
Wed Mar 9 2022,7:00p,Chicago Bulls,,Detroit Pistons,,,,,
Wed Mar 9 2022,7:30p,Phoenix Suns,,Miami Heat,,,,,
Wed Mar 9 2022,7:30p,Atlanta Hawks,,Milwaukee Bucks,,,,,
Wed Mar 9 2022,8:00p,Los Angeles Lakers,,Houston Rockets,,,,,
Wed Mar 9 2022,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,
Wed Mar 9 2022,8:00p,Orlando Magic,,New Orleans Pelicans,,,,,
Wed Mar 9 2022,8:30p,New York Knicks,,Dallas Mavericks,,,,,
Wed Mar 9 2022,8:30p,Toronto Raptors,,San Antonio Spurs,,,,,
Wed Mar 9 2022,10:00p,Denver Nuggets,,Sacramento Kings,,,,,
Wed Mar 9 2022,10:00p,Portland Trail Blazers,,Utah Jazz,,,,,
Wed Mar 9 2022,10:30p,Washington Wizards,,Los Angeles Clippers,,,,,
Thu Mar 10 2022,7:30p,Brooklyn Nets,,Philadelphia 76ers,,,,,
Thu Mar 10 2022,10:00p,Golden State Warriors,,Denver Nuggets,,,,,
Fri Mar 11 2022,7:00p,Minnesota Timberwolves,,Orlando Magic,,,,,
Fri Mar 11 2022,7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,
Fri Mar 11 2022,7:30p,Detroit Pistons,,Boston Celtics,,,,,
Fri Mar 11 2022,8:00p,Dallas Mavericks,,Houston Rockets,,,,,
Fri Mar 11 2022,8:00p,New York Knicks,,Memphis Grizzlies,,,,,
Fri Mar 11 2022,8:00p,Cleveland Cavaliers,,Miami Heat,,,,,
Fri Mar 11 2022,8:00p,Charlotte Hornets,,New Orleans Pelicans,,,,,
Fri Mar 11 2022,8:30p,Utah Jazz,,San Antonio Spurs,,,,,
Fri Mar 11 2022,9:00p,Toronto Raptors,,Phoenix Suns,,,,,
Fri Mar 11 2022,10:30p,Washington Wizards,,Los Angeles Lakers,,,,,
Sat Mar 12 2022,8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,
Sat Mar 12 2022,8:00p,Minnesota Timberwolves,,Miami Heat,,,,,
Sat Mar 12 2022,8:00p,Indiana Pacers,,San Antonio Spurs,,,,,
Sat Mar 12 2022,8:30p,Milwaukee Bucks,,Golden State Warriors,,,,,
Sat Mar 12 2022,10:00p,Toronto Raptors,,Denver Nuggets,,,,,
Sat Mar 12 2022,10:00p,Washington Wizards,,Portland Trail Blazers,,,,,
Sat Mar 12 2022,10:00p,Sacramento Kings,,Utah Jazz,,,,,
Sun Mar 13 2022,1:00p,New York Knicks,,Brooklyn Nets,,,,,
Sun Mar 13 2022,3:00p,Los Angeles Clippers,,Detroit Pistons,,,,,
Sun Mar 13 2022,3:30p,Dallas Mavericks,,Boston Celtics,,,,,
Sun Mar 13 2022,6:00p,Philadelphia 76ers,,Orlando Magic,,,,,
Sun Mar 13 2022,7:00p,Indiana Pacers,,Atlanta Hawks,,,,,
Sun Mar 13 2022,7:00p,Houston Rockets,,New Orleans Pelicans,,,,,
Sun Mar 13 2022,7:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,
Sun Mar 13 2022,9:00p,Los Angeles Lakers,,Phoenix Suns,,,,,
Mon Mar 14 2022,7:00p,Los Angeles Clippers,,Cleveland Cavaliers,,,,,
Mon Mar 14 2022,7:30p,Portland Trail Blazers,,Atlanta Hawks,,,,,
Mon Mar 14 2022,7:30p,Denver Nuggets,,Philadelphia 76ers,,,,,
Mon Mar 14 2022,8:00p,Charlotte Hornets,,Oklahoma City Thunder,,,,,
Mon Mar 14 2022,8:30p,Minnesota Timberwolves,,San Antonio Spurs,,,,,
Mon Mar 14 2022,10:00p,Washington Wizards,,Golden State Warriors,,,,,
Mon Mar 14 2022,10:00p,Chicago Bulls,,Sacramento Kings,,,,,
Mon Mar 14 2022,10:00p,Milwaukee Bucks,,Utah Jazz,,,,,
Mon Mar 14 2022,10:30p,Toronto Raptors,,Los Angeles Lakers,,,,,
Tue Mar 15 2022,7:00p,Memphis Grizzlies,,Indiana Pacers,,,,,
Tue Mar 15 2022,7:00p,Brooklyn Nets,,Orlando Magic,,,,,
Tue Mar 15 2022,7:30p,Detroit Pistons,,Miami Heat,,,,,
Tue Mar 15 2022,8:00p,Phoenix Suns,,New Orleans Pelicans,,,,,
Wed Mar 16 2022,7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
Wed Mar 16 2022,7:00p,Philadelphia 76ers,,Cleveland Cavaliers,,,,,
Wed Mar 16 2022,7:00p,Denver Nuggets,,Washington Wizards,,,,,
Wed Mar 16 2022,7:30p,Dallas Mavericks,,Brooklyn Nets,,,,,
Wed Mar 16 2022,7:30p,Portland Trail Blazers,,New York Knicks,,,,,
Wed Mar 16 2022,8:00p,Phoenix Suns,,Houston Rockets,,,,,
Wed Mar 16 2022,8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,
Wed Mar 16 2022,8:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,
Wed Mar 16 2022,9:00p,Chicago Bulls,,Utah Jazz,,,,,
Wed Mar 16 2022,10:00p,Boston Celtics,,Golden State Warriors,,,,,
Wed Mar 16 2022,10:00p,Milwaukee Bucks,,Sacramento Kings,,,,,
Wed Mar 16 2022,10:30p,Toronto Raptors,,Los Angeles Clippers,,,,,
Thu Mar 17 2022,7:00p,Detroit Pistons,,Orlando Magic,,,,,
Fri Mar 18 2022,7:00p,Dallas Mavericks,,Philadelphia 76ers,,,,,
Fri Mar 18 2022,7:30p,Memphis Grizzlies,,Atlanta Hawks,,,,,
Fri Mar 18 2022,7:30p,Portland Trail Blazers,,Brooklyn Nets,,,,,
Fri Mar 18 2022,7:30p,Denver Nuggets,,Cleveland Cavaliers,,,,,
Fri Mar 18 2022,7:30p,Washington Wizards,,New York Knicks,,,,,
Fri Mar 18 2022,7:30p,Los Angeles Lakers,,Toronto Raptors,,,,,
Fri Mar 18 2022,8:00p,Indiana Pacers,,Houston Rockets,,,,,
Fri Mar 18 2022,8:00p,Oklahoma City Thunder,,Miami Heat,,,,,
Fri Mar 18 2022,8:30p,New Orleans Pelicans,,San Antonio Spurs,,,,,
Fri Mar 18 2022,9:00p,Los Angeles Clippers,,Utah Jazz,,,,,
Fri Mar 18 2022,10:00p,Chicago Bulls,,Phoenix Suns,,,,,
Fri Mar 18 2022,10:00p,Boston Celtics,,Sacramento Kings,,,,,
Sat Mar 19 2022,5:00p,Milwaukee Bucks,,Minnesota Timberwolves,,,,,
Sat Mar 19 2022,7:00p,Dallas Mavericks,,Charlotte Hornets,,,,,
Sat Mar 19 2022,8:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,
Sat Mar 19 2022,8:00p,Los Angeles Lakers,,Washington Wizards,,,,,
Sun Mar 20 2022,3:30p,Memphis Grizzlies,,Houston Rockets,,,,,
Sun Mar 20 2022,3:30p,Portland Trail Blazers,,Indiana Pacers,,,,,
Sun Mar 20 2022,6:00p,New Orleans Pelicans,,Atlanta Hawks,,,,,
Sun Mar 20 2022,6:00p,Oklahoma City Thunder,,Orlando Magic,,,,,
Sun Mar 20 2022,6:00p,Phoenix Suns,,Sacramento Kings,,,,,
Sun Mar 20 2022,7:30p,Utah Jazz,,New York Knicks,,,,,
Sun Mar 20 2022,8:00p,Boston Celtics,,Denver Nuggets,,,,,
Sun Mar 20 2022,8:30p,San Antonio Spurs,,Golden State Warriors,,,,,
Sun Mar 20 2022,8:30p,Toronto Raptors,,Philadelphia 76ers,,,,,
Mon Mar 21 2022,7:00p,New Orleans Pelicans,,Charlotte Hornets,,,,,
Mon Mar 21 2022,7:00p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,
Mon Mar 21 2022,7:00p,Portland Trail Blazers,,Detroit Pistons,,,,,
Mon Mar 21 2022,7:00p,Miami Heat,,Philadelphia 76ers,,,,,
Mon Mar 21 2022,7:30p,Utah Jazz,,Brooklyn Nets,,,,,
Mon Mar 21 2022,8:00p,Toronto Raptors,,Chicago Bulls,,,,,
Mon Mar 21 2022,8:00p,Washington Wizards,,Houston Rockets,,,,,
Mon Mar 21 2022,8:00p,Boston Celtics,,Oklahoma City Thunder,,,,,
Mon Mar 21 2022,8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,
Tue Mar 22 2022,7:00p,Golden State Warriors,,Orlando Magic,,,,,
Tue Mar 22 2022,7:30p,Atlanta Hawks,,New York Knicks,,,,,
Tue Mar 22 2022,8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
Tue Mar 22 2022,10:00p,Los Angeles Clippers,,Denver Nuggets,,,,,
Wed Mar 23 2022,7:00p,New York Knicks,,Charlotte Hornets,,,,,
Wed Mar 23 2022,7:00p,Atlanta Hawks,,Detroit Pistons,,,,,
Wed Mar 23 2022,7:00p,Sacramento Kings,,Indiana Pacers,,,,,
Wed Mar 23 2022,7:30p,Utah Jazz,,Boston Celtics,,,,,
Wed Mar 23 2022,7:30p,Brooklyn Nets,,Memphis Grizzlies,,,,,
Wed Mar 23 2022,7:30p,Golden State Warriors,,Miami Heat,,,,,
Wed Mar 23 2022,8:00p,Phoenix Suns,,Minnesota Timberwolves,,,,,
Wed Mar 23 2022,8:00p,Orlando Magic,,Oklahoma City Thunder,,,,,
Wed Mar 23 2022,8:30p,Houston Rockets,,Dallas Mavericks,,,,,
Wed Mar 23 2022,10:00p,Philadelphia 76ers,,Los Angeles Lakers,,,,,
Wed Mar 23 2022,10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,
Thu Mar 24 2022,7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,
Thu Mar 24 2022,8:00p,Indiana Pacers,,Memphis Grizzlies,,,,,
Thu Mar 24 2022,8:00p,Washington Wizards,,Milwaukee Bucks,,,,,
Thu Mar 24 2022,8:00p,Chicago Bulls,,New Orleans Pelicans,,,,,
Thu Mar 24 2022,9:00p,Phoenix Suns,,Denver Nuggets,,,,,
Fri Mar 25 2022,7:00p,Utah Jazz,,Charlotte Hornets,,,,,
Fri Mar 25 2022,7:00p,Washington Wizards,,Detroit Pistons,,,,,
Fri Mar 25 2022,7:30p,Golden State Warriors,,Atlanta Hawks,,,,,
Fri Mar 25 2022,8:00p,New York Knicks,,Miami Heat,,,,,
Fri Mar 25 2022,8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,
Fri Mar 25 2022,10:00p,Houston Rockets,,Portland Trail Blazers,,,,,
Fri Mar 25 2022,10:30p,Philadelphia 76ers,,Los Angeles Clippers,,,,,
Sat Mar 26 2022,5:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
Sat Mar 26 2022,7:00p,Sacramento Kings,,Orlando Magic,,,,,
Sat Mar 26 2022,7:30p,Indiana Pacers,,Toronto Raptors,,,,,
Sat Mar 26 2022,8:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,
Sat Mar 26 2022,8:00p,Milwaukee Bucks,,Memphis Grizzlies,,,,,
Sat Mar 26 2022,8:00p,Brooklyn Nets,,Miami Heat,,,,,
Sat Mar 26 2022,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
Sat Mar 26 2022,10:00p,Houston Rockets,,Portland Trail Blazers,,,,,
Sun Mar 27 2022,3:30p,New York Knicks,,Detroit Pistons,,,,,
Sun Mar 27 2022,6:00p,Minnesota Timberwolves,,Boston Celtics,,,,,
Sun Mar 27 2022,6:00p,Philadelphia 76ers,,Phoenix Suns,,,,,
Sun Mar 27 2022,6:00p,Golden State Warriors,,Washington Wizards,,,,,
Sun Mar 27 2022,7:00p,Los Angeles Lakers,,New Orleans Pelicans,,,,,
Sun Mar 27 2022,7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,
Sun Mar 27 2022,7:30p,Utah Jazz,,Dallas Mavericks,,,,,
Mon Mar 28 2022,7:00p,Denver Nuggets,,Charlotte Hornets,,,,,
Mon Mar 28 2022,7:00p,Orlando Magic,,Cleveland Cavaliers,,,,,
Mon Mar 28 2022,7:00p,Atlanta Hawks,,Indiana Pacers,,,,,
Mon Mar 28 2022,7:30p,Sacramento Kings,,Miami Heat,,,,,
Mon Mar 28 2022,7:30p,Chicago Bulls,,New York Knicks,,,,,
Mon Mar 28 2022,7:30p,Boston Celtics,,Toronto Raptors,,,,,
Mon Mar 28 2022,8:00p,San Antonio Spurs,,Houston Rockets,,,,,
Mon Mar 28 2022,8:00p,Golden State Warriors,,Memphis Grizzlies,,,,,
Mon Mar 28 2022,10:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,
Tue Mar 29 2022,7:00p,Milwaukee Bucks,,Philadelphia 76ers,,,,,
Tue Mar 29 2022,7:00p,Chicago Bulls,,Washington Wizards,,,,,
Tue Mar 29 2022,7:30p,Detroit Pistons,,Brooklyn Nets,,,,,
Tue Mar 29 2022,7:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,
Tue Mar 29 2022,10:00p,Utah Jazz,,Los Angeles Clippers,,,,,
Wed Mar 30 2022,7:00p,Dallas Mavericks,,Cleveland Cavaliers,,,,,
Wed Mar 30 2022,7:00p,Denver Nuggets,,Indiana Pacers,,,,,
Wed Mar 30 2022,7:00p,Orlando Magic,,Washington Wizards,,,,,
Wed Mar 30 2022,7:30p,Miami Heat,,Boston Celtics,,,,,
Wed Mar 30 2022,7:30p,Charlotte Hornets,,New York Knicks,,,,,
Wed Mar 30 2022,7:30p,Minnesota Timberwolves,,Toronto Raptors,,,,,
Wed Mar 30 2022,8:00p,Sacramento Kings,,Houston Rockets,,,,,
Wed Mar 30 2022,8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,
Wed Mar 30 2022,8:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
Wed Mar 30 2022,10:00p,Phoenix Suns,,Golden State Warriors,,,,,
Wed Mar 30 2022,10:00p,New Orleans Pelicans,,Portland Trail Blazers,,,,,
Thu Mar 31 2022,7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,
Thu Mar 31 2022,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,
Thu Mar 31 2022,8:00p,Los Angeles Clippers,,Chicago Bulls,,,,,
Thu Mar 31 2022,10:00p,Los Angeles Lakers,,Utah Jazz,,,,,
Fri Apr 1 2022,7:00p,Toronto Raptors,,Orlando Magic,,,,,
Fri Apr 1 2022,7:00p,Dallas Mavericks,,Washington Wizards,,,,,
Fri Apr 1 2022,7:30p,Indiana Pacers,,Boston Celtics,,,,,
Fri Apr 1 2022,8:00p,Sacramento Kings,,Houston Rockets,,,,,
Fri Apr 1 2022,8:00p,Phoenix Suns,,Memphis Grizzlies,,,,,
Fri Apr 1 2022,8:00p,Los Angeles Clippers,,Milwaukee Bucks,,,,,
Fri Apr 1 2022,8:00p,Detroit Pistons,,Oklahoma City Thunder,,,,,
Fri Apr 1 2022,8:30p,Portland Trail Blazers,,San Antonio Spurs,,,,,
Fri Apr 1 2022,9:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,
Fri Apr 1 2022,10:30p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
Sat Apr 2 2022,12:30p,Charlotte Hornets,,Philadelphia 76ers,,,,,
Sat Apr 2 2022,1:00p,Cleveland Cavaliers,,New York Knicks,,,,,
Sat Apr 2 2022,7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,
Sat Apr 2 2022,8:00p,Miami Heat,,Chicago Bulls,,,,,
Sat Apr 2 2022,8:30p,Utah Jazz,,Golden State Warriors,,,,,
Sun Apr 3 2022,1:00p,Dallas Mavericks,,Milwaukee Bucks,,,,,
Sun Apr 3 2022,1:00p,Washington Wizards,,Boston Celtics,,,,,
Sun Apr 3 2022,3:30p,Denver Nuggets,,Los Angeles Lakers,,,,,
Sun Apr 3 2022,5:00p,Detroit Pistons,,Indiana Pacers,,,,,
Sun Apr 3 2022,6:00p,Philadelphia 76ers,,Cleveland Cavaliers,,,,,
Sun Apr 3 2022,6:00p,New York Knicks,,Orlando Magic,,,,,
Sun Apr 3 2022,7:00p,Minnesota Timberwolves,,Houston Rockets,,,,,
Sun Apr 3 2022,7:00p,Miami Heat,,Toronto Raptors,,,,,
Sun Apr 3 2022,7:00p,Portland Trail Blazers,,San Antonio Spurs,,,,,
Sun Apr 3 2022,7:00p,Phoenix Suns,,Oklahoma City Thunder,,,,,
Sun Apr 3 2022,9:00p,Golden State Warriors,,Sacramento Kings,,,,,
Sun Apr 3 2022,9:30p,New Orleans Pelicans,,Los Angeles Clippers,,,,,
Tue Apr 5 2022,7:00p,Philadelphia 76ers,,Indiana Pacers,,,,,
Tue Apr 5 2022,7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,
Tue Apr 5 2022,7:30p,Houston Rockets,,Brooklyn Nets,,,,,
Tue Apr 5 2022,7:30p,Charlotte Hornets,,Miami Heat,,,,,
Tue Apr 5 2022,7:30p,Atlanta Hawks,,Toronto Raptors,,,,,
Tue Apr 5 2022,8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,
Tue Apr 5 2022,8:00p,Washington Wizards,,Minnesota Timberwolves,,,,,
Tue Apr 5 2022,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
Tue Apr 5 2022,9:00p,San Antonio Spurs,,Denver Nuggets,,,,,
Tue Apr 5 2022,9:00p,Memphis Grizzlies,,Utah Jazz,,,,,
Tue Apr 5 2022,10:00p,New Orleans Pelicans,,Sacramento Kings,,,,,
Tue Apr 5 2022,10:30p,Los Angeles Lakers,,Phoenix Suns,,,,,
Wed Apr 6 2022,7:00p,Dallas Mavericks,,Detroit Pistons,,,,,
Wed Apr 6 2022,7:30p,Brooklyn Nets,,New York Knicks,,,,,
Wed Apr 6 2022,8:00p,Boston Celtics,,Chicago Bulls,,,,,
Wed Apr 6 2022,8:00p,Washington Wizards,,Atlanta Hawks,,,,,
Wed Apr 6 2022,9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,
Wed Apr 6 2022,10:00p,Phoenix Suns,,Los Angeles Clippers,,,,,
Thu Apr 7 2022,7:00p,Orlando Magic,,Charlotte Hornets,,,,,
Thu Apr 7 2022,7:30p,Boston Celtics,,Milwaukee Bucks,,,,,
Thu Apr 7 2022,7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,
Thu Apr 7 2022,8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,
Thu Apr 7 2022,8:00p,Portland Trail Blazers,,New Orleans Pelicans,,,,,
Thu Apr 7 2022,9:00p,Memphis Grizzlies,,Denver Nuggets,,,,,
Thu Apr 7 2022,10:00p,Los Angeles Lakers,,Golden State Warriors,,,,,
Fri Apr 8 2022,7:00p,New York Knicks,,Washington Wizards,,,,,
Fri Apr 8 2022,7:00p,Milwaukee Bucks,,Detroit Pistons,,,,,
Fri Apr 8 2022,7:30p,Cleveland Cavaliers,,Brooklyn Nets,,,,,
Fri Apr 8 2022,7:30p,Houston Rockets,,Toronto Raptors,,,,,
Fri Apr 8 2022,8:00p,Atlanta Hawks,,Miami Heat,,,,,
Fri Apr 8 2022,8:00p,Charlotte Hornets,,Chicago Bulls,,,,,
Fri Apr 8 2022,8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,
Fri Apr 8 2022,9:30p,Phoenix Suns,,Utah Jazz,,,,,
Fri Apr 8 2022,10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,
Sat Apr 9 2022,,Sacramento Kings,,Los Angeles Clippers,,,,,
Sat Apr 9 2022,,Golden State Warriors,,San Antonio Spurs,,,,,
Sat Apr 9 2022,,New Orleans Pelicans,,Memphis Grizzlies,,,,,
Sat Apr 9 2022,,Indiana Pacers,,Philadelphia 76ers,,,,,
Sun Apr 10 2022,,Utah Jazz,,Portland Trail Blazers,,,,,
Sun Apr 10 2022,,Sacramento Kings,,Phoenix Suns,,,,,
Sun Apr 10 2022,,Detroit Pistons,,Philadelphia 76ers,,,,,
Sun Apr 10 2022,,Miami Heat,,Orlando Magic,,,,,
Sun Apr 10 2022,,Toronto Raptors,,New York Knicks,,,,,
Sun Apr 10 2022,,Golden State Warriors,,New Orleans Pelicans,,,,,
Sun Apr 10 2022,,Chicago Bulls,,Minnesota Timberwolves,,,,,
Sun Apr 10 2022,,Boston Celtics,,Memphis Grizzlies,,,,,
Sun Apr 10 2022,,Oklahoma City Thunder,,Los Angeles Clippers,,,,,
Sun Apr 10 2022,,Atlanta Hawks,,Houston Rockets,,,,,
Sun Apr 10 2022,,Los Angeles Lakers,,Denver Nuggets,,,,,
Sun Apr 10 2022,,San Antonio Spurs,,Dallas Mavericks,,,,,
Sun Apr 10 2022,,Milwaukee Bucks,,Cleveland Cavaliers,,,,,
Sun Apr 10 2022,,Washington Wizards,,Charlotte Hornets,,,,,
Sun Apr 10 2022,,Indiana Pacers,,Brooklyn Nets,,,,,
