Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Khris Middleton,SF,30,MIL,21,21,31.0,6.1,14.8,.412,2.2,6.2,.351,3.9,8.6,.456,.486,3.4,3.9,.878,0.6,5.1,5.7,4.9,1.1,0.1,3.1,2.1,17.8
Patty Mills,PG,33,BRK,30,16,30.2,4.9,11.0,.442,3.2,7.4,.430,1.7,3.6,.468,.586,0.7,0.8,.880,0.3,1.7,2.0,2.5,0.6,0.3,1.1,1.3,13.6
Paul Millsap,PF,36,BRK,21,0,11.2,1.3,3.6,.355,0.3,1.2,.240,1.0,2.4,.412,.395,0.6,0.8,.706,1.2,2.5,3.7,1.0,0.2,0.3,0.5,2.1,3.4
Shake Milton,PG,25,PHI,25,6,25.4,4.3,9.6,.444,1.0,3.0,.320,3.3,6.6,.500,.494,1.6,1.9,.854,0.5,2.6,3.1,2.9,0.8,0.4,1.2,2.1,11.2
Davion Mitchell,PG,23,SAC,29,1,25.7,3.9,9.8,.396,1.2,3.9,.307,2.7,5.9,.456,.458,0.7,1.0,.667,0.6,2.0,2.6,3.6,0.7,0.2,1.1,2.2,9.7
Donovan Mitchell,SG,25,UTA,28,28,32.5,9.4,20.3,.460,3.3,9.4,.346,6.1,10.9,.559,.540,3.2,3.6,.882,0.8,2.9,3.7,5.0,1.7,0.2,3.0,2.4,25.2
Evan Mobley,PF,20,CLE,25,25,33.6,5.4,11.5,.474,0.6,1.7,.333,4.9,9.8,.498,.498,2.3,3.0,.773,1.7,6.6,8.3,2.5,0.9,1.8,1.6,2.1,13.8
Malik Monk,SG,23,LAL,28,2,23.8,3.6,8.1,.447,1.7,4.8,.361,1.9,3.4,.568,.553,0.7,0.9,.800,0.4,2.4,2.8,2.2,0.7,0.3,1.3,1.5,9.7
Moses Moody,SG,19,GSW,20,1,6.5,0.8,2.3,.333,0.2,1.3,.160,0.6,1.0,.550,.378,0.2,0.4,.571,0.2,0.8,1.0,0.3,0.1,0.2,0.2,0.5,1.9
Ja Morant,PG,22,MEM,19,19,32.6,8.9,18.8,.476,1.6,4.6,.356,7.3,14.2,.515,.520,4.6,5.9,.777,1.3,4.3,5.6,6.8,1.6,0.3,3.2,1.3,24.1
Marcus Morris,PF,32,LAC,13,13,29.7,5.2,12.1,.433,2.0,5.4,.371,3.2,6.7,.483,.516,1.3,1.7,.773,0.5,4.3,4.8,1.9,0.5,0.3,1.4,2.2,13.8
Markieff Morris,PF,32,MIA,10,0,18.7,3.2,7.0,.457,0.8,2.2,.364,2.4,4.8,.500,.514,0.5,0.5,1.000,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7
Monte Morris,PG,26,DEN,29,29,30.2,5.4,11.1,.489,1.7,4.4,.378,3.8,6.8,.561,.563,0.5,0.7,.750,0.2,2.5,2.7,4.2,0.8,0.2,1.3,1.5,13.1
Mychal Mulder,PG,27,ORL,15,2,13.0,1.3,4.5,.299,0.9,3.1,.283,0.5,1.4,.333,.396,0.1,0.1,1.000,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
Trey Murphy III,SF,21,NOP,29,0,13.4,1.4,3.9,.360,1.1,2.9,.369,0.3,1.0,.333,.496,0.3,0.4,.833,0.6,1.5,2.1,0.6,0.3,0.1,0.3,1.1,4.2
Dejounte Murray,PG,25,SAS,29,29,34.4,7.5,16.9,.446,1.3,4.0,.330,6.2,12.9,.481,.485,1.6,2.3,.687,1.1,7.3,8.3,8.5,1.9,0.4,2.4,2.0,17.9
Mike Muscala,C,30,OKC,22,0,14.0,2.6,5.6,.463,1.6,3.7,.432,1.0,1.9,.524,.606,1.4,1.6,.833,0.5,2.7,3.2,0.5,0.3,0.5,0.5,1.1,8.1
Svi Mykhailiuk,SF,24,TOR,29,4,17.8,2.4,5.9,.415,1.1,3.3,.320,1.4,2.6,.541,.506,0.7,0.8,.875,0.6,2.0,2.6,1.1,0.7,0.1,0.8,1.4,6.7
Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,.343,0.3,1.0,.286,0.6,1.5,.381,.400,0.4,0.7,.600,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
Larry Nance Jr.,PF,29,POR,31,5,21.9,2.5,4.9,.520,0.4,1.5,.271,2.1,3.4,.635,.563,0.8,1.3,.600,1.5,4.1,5.6,1.7,0.9,0.4,0.8,1.6,6.3
RJ Nembhard,SG,22,CLE,3,0,2.3,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,1.3
Aaron Nesmith,SF,22,BOS,25,1,10.8,1.1,3.4,.329,0.6,2.4,.233,0.6,1.0,.560,.412,0.3,0.4,.778,0.3,1.4,1.7,0.4,0.3,0.0,0.5,1.4,3.1
Raul Neto,PG,29,WAS,30,0,20.2,3.2,7.0,.452,0.4,1.7,.250,2.7,5.3,.519,.483,1.2,1.6,.729,0.2,1.9,2.1,2.6,0.8,0.0,1.2,1.6,7.9
Georges Niang,PF,28,PHI,28,5,23.6,3.8,8.5,.441,1.9,5.1,.380,1.8,3.4,.531,.555,1.0,1.1,.871,0.2,2.3,2.5,1.5,0.6,0.3,0.8,2.5,10.4
Daishen Nix,SG,19,HOU,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Zeke Nnaji,PF,21,DEN,17,0,14.9,2.1,4.3,.479,1.1,2.2,.514,0.9,2.1,.444,.610,1.0,1.5,.680,1.0,2.2,3.2,0.5,0.2,0.4,0.4,1.6,6.2
Nerlens Noel,C,27,NYK,16,9,23.1,1.4,2.7,.512,0.0,0.1,.000,1.4,2.6,.537,.512,0.8,1.0,.813,2.3,3.8,6.0,0.8,1.1,1.4,0.9,2.6,3.6
Jaylen Nowell,SG,22,MIN,16,0,8.4,1.9,4.4,.429,0.5,1.3,.400,1.4,3.1,.440,.486,0.3,0.4,.667,0.2,1.0,1.2,1.2,0.3,0.3,0.2,0.5,4.5
