Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
P.J. Tucker," PF,C,SF",MIA , OUT ,12.0,3.5,2.5,0.0,0.5,.529,.500,2.0,1.0,2,26.6,1.0,2.5,5.00,1.0
Cory Joseph, PG,DET ,Healthy,12.0,2.5,2.5,0.0,0.0,.588,.500,1.5,1.0,2,24.4,0.5,3.5,0.50,3.0
KZ Okpala, SF,MIA ,Healthy,8.0,2.7,0.3,0.3,0.3,.500,1.000,0.7,0.3,3,17.9,0.7,2.7,0.00,1.7
Saben Lee, PG,DET ,Healthy,7.7,3.3,1.7,0.3,1.0,.375,1.000,0.7,0.7,3,20.7,1.0,2.3,0.00,2.3
Cedi Osman," SF,PF",CLE ,Healthy,23.0,5.0,4.0,0.0,1.0,.667,1.000,5.0,1.0,1,27.1,2.0,3.0,4.00,1.0
Royce O'Neale," SF,PF",UTH ,Healthy,7.7,7.0,3.3,0.3,0.7,.350,.833,1.3,0.7,3,31.0,1.7,1.0,1.50,2.3
Sandro Mamukelashvili," PF,C",MIL , OUT ,11.5,3.0,1.5,1.5,1.0,.471,.500,3.0,2.0,2,30.1,0.5,1.0,2.30,2.5
Patty Mills, PG,BKN ,Healthy,23.0,6.0,5.0,1.0,1.0,.417,1.000,2.0,2.0,1,40.6,1.0,8.0,2.50,2.0
Naz Reid, C,MIN , DTD ,7.7,3.7,1.0,0.7,0.7,.412,.833,1.3,0.7,3,16.6,1.7,1.0,1.00,2.0
Andre Iguodala," SG,SF,PF",GSW , OUT ,11.0,2.5,6.0,1.0,1.5,.571,1.000,2.0,0.5,2,24.1,1.0,2.0,6.00,1.0
Draymond Green," PF,C",GSW ,Healthy,11.0,8.0,9.0,1.5,1.0,.529,.750,0.5,3.5,2,32.2,1.5,4.0,6.00,4.0
Robert Williams," C,PF",BOS ,Healthy,11.0,9.5,1.5,1.0,0.0,.643,.444,0.0,1.5,2,33.0,2.0,4.5,0.30,2.5
Darius Garland," PG,SG",CLE ,Healthy,22.0,4.0,6.0,0.0,1.0,.769,.000,2.0,2.0,1,32.3,0.0,8.0,3.00,0.0
Garrison Mathews," SG,SF",HOU ,Healthy,11.0,4.5,2.0,0.5,1.5,.471,.000,3.0,1.5,2,30.9,0.0,1.0,3.00,2.0
Larry Nance," PF,C",POR ,Healthy,7.3,8.0,1.7,0.7,2.0,.643,1.000,0.7,0.7,3,30.9,0.7,2.3,3.00,3.3
Nemanja Bjelica, PF,GSW ,Healthy,7.0,3.3,2.7,0.3,0.7,.364,.750,0.7,1.0,3,18.7,1.0,2.0,4.00,1.7
Scottie Barnes," SF,PF",TOR , OUT ,21.0,8.0,6.0,0.0,0.0,.667,.714,0.0,1.0,1,32.8,5.0,8.0,6.00,3.0
Kyle Anderson," SF,PF",MEM ,Healthy,7.0,5.7,3.0,0.3,1.3,.333,.400,0.3,0.7,3,22.9,0.7,2.7,0.50,1.0
Steven Adams, C,MEM ,Healthy,7.0,11.7,4.0,0.0,1.3,.412,.636,0.0,1.0,3,28.8,2.3,2.3,5.50,1.0
Monte Morris," PG,SG",DEN ,Healthy,21.0,3.0,2.0,0.0,1.0,.615,1.000,3.0,0.0,1,25.3,2.0,5.0,0.00,2.0
George Hill," PG,SG",MIL ,Healthy,10.5,2.5,3.0,0.0,1.0,.625,1.000,0.0,1.0,2,25.5,0.5,5.0,6.00,1.0
Cameron Payne," PG,SG",PHO ,Healthy,10.5,5.5,6.0,0.5,2.5,.368,1.000,1.0,3.0,2,23.7,2.5,2.5,4.00,2.5
Dwight Powell," PF,C",DAL ,Healthy,10.5,6.0,2.0,0.0,0.0,.636,1.000,0.5,1.5,2,20.6,3.0,3.0,3.00,3.0
DeMarcus Cousins," PF,C",MIL ,Healthy,10.5,9.0,1.5,0.5,2.5,.421,1.000,1.0,2.0,2,21.6,1.5,3.0,0.30,3.5
John Collins," PF,C",ATL ,Healthy,20.0,10.0,2.0,0.0,2.0,.539,1.000,1.0,2.0,1,32.7,5.0,6.0,1.00,4.0
Joe Ingles," SG,SF,PF",UTH ,Healthy,6.7,4.3,3.3,0.3,0.7,.368,.000,2.0,2.0,3,27.0,0.0,0.3,7.00,3.0
Jeff Green," SF,PF",DEN ,Healthy,20.0,5.0,4.0,1.0,0.0,.615,.000,4.0,2.0,1,31.5,0.0,4.0,2.00,2.0
Nikola Jokic," PF,C",DEN ,Healthy,20.0,10.0,7.0,0.0,3.0,.667,1.000,1.0,3.0,1,26.1,3.0,7.0,2.30,5.0
Mitchell Robinson, C,NYK ,Healthy,10.0,11.0,0.0,1.5,1.5,.818,.400,0.0,0.5,2,23.2,1.0,4.5,0.00,3.0
Darius Bazley," SF,PF",OKC ,Healthy,10.0,4.5,0.5,3.0,0.0,.467,.444,1.0,2.5,2,24.0,2.0,2.5,0.30,0.0
Josh Christopher, SG,HOU ,Healthy,10.0,3.5,4.5,0.5,0.5,.636,1.000,1.0,3.5,2,23.8,2.0,2.5,2.40,1.0
Herbert Jones, SF,NOR ,Healthy,10.0,5.0,2.0,1.0,0.5,.636,.625,0.5,1.0,2,29.4,2.5,3.0,2.00,4.0
Killian Hayes," PG,SG",DET , DTD ,9.5,3.0,5.5,0.5,1.5,.389,1.000,0.5,2.5,2,28.2,2.0,3.0,3.80,2.5
Patrick Beverley," PG,SG",MIN , OUT ,9.5,8.5,5.5,1.5,1.0,.353,.833,1.0,1.0,2,31.1,2.5,2.0,2.00,3.5
Tyus Jones, PG,MEM , DTD ,9.5,3.0,4.5,0.0,0.5,.389,1.000,1.5,0.0,2,31.0,1.0,2.0,0.00,0.0
David Nwaba," SG,SF",HOU ,Healthy,9.5,5.5,1.5,1.0,0.5,.583,.667,0.5,0.5,2,16.4,2.0,3.0,2.00,1.5
Omer Yurtseven, C,MIA ,Healthy,6.3,12.3,0.3,1.3,0.7,.350,.625,0.0,1.7,3,20.6,1.7,2.3,0.50,3.7
Anfernee Simons," PG,SG",POR ,Healthy,6.3,1.3,1.7,0.0,0.3,.250,1.000,0.7,2.0,3,23.1,1.7,1.3,2.70,1.3
Alfonzo McKinnie," SF,PF",CHI ,Healthy,9.0,3.5,1.0,0.5,0.5,.500,.000,2.0,0.5,2,23.2,0.0,1.5,1.00,3.0
Landry Shamet," PG,SG",PHO ,Healthy,9.0,1.5,1.5,0.0,0.5,.375,.667,2.0,0.5,2,22.0,1.0,1.0,1.00,0.0
Kevon Looney," PF,C",GSW ,Healthy,6.0,5.3,1.3,1.3,0.3,.546,.750,0.0,0.7,3,20.5,2.0,2.0,3.00,2.0
David Duke, G,BKN ,Healthy,18.0,14.0,1.0,1.0,2.0,.467,.750,1.0,1.0,1,35.8,3.0,6.0,1.00,2.0
Otto Porter," SF,PF",GSW ,Healthy,9.0,6.0,1.5,2.5,0.5,.571,.000,1.0,1.0,2,23.1,0.0,3.0,1.00,0.5
Eric Bledsoe," PG,SG",LAC ,Healthy,9.0,3.0,3.0,0.0,0.5,.316,1.000,0.5,2.0,2,22.7,2.5,2.5,3.00,1.5
Hassan Whiteside," PF,C",UTH ,Healthy,5.7,5.0,0.3,1.0,0.0,.636,.600,0.0,1.7,3,11.8,1.0,2.3,0.00,2.7
Rudy Gay," SF,PF",UTH ,Healthy,5.7,3.7,1.3,0.3,0.0,.250,.556,0.7,0.7,3,19.5,1.7,1.0,2.00,1.0
Jae Crowder," SF,PF",PHO ,Healthy,8.5,3.0,1.5,1.0,0.0,.500,1.000,2.0,1.0,2,24.0,1.5,0.5,3.00,2.5
Alperen Sengun, C,HOU ,Healthy,8.5,5.0,3.0,1.0,0.5,.462,.800,0.5,3.0,2,20.7,2.0,2.5,4.40,3.5
Precious Achiuwa," SF,PF,C",TOR , OUT ,17.0,5.0,0.0,0.0,1.0,.667,.000,1.0,2.0,1,22.5,0.0,7.0,0.00,1.0
Caris LeVert," SG,SF",IND ,Healthy,17.0,4.0,3.0,0.0,0.0,.267,1.000,3.0,1.0,1,30.4,6.0,1.0,3.00,0.0
Wayne Ellington," SG,SF",LAL ,Healthy,5.7,2.7,1.7,0.0,1.0,.316,.000,1.7,1.0,3,31.0,0.0,0.3,0.70,1.3
Kenrich Williams," SF,PF",OKC ,Healthy,8.5,5.0,1.0,0.0,0.5,.500,1.000,0.5,1.5,2,22.4,1.0,3.0,1.50,2.5
Alex Caruso," PG,SG",CHI , OUT ,8.5,5.0,2.0,0.0,0.5,.546,.500,1.5,1.5,2,21.9,1.0,1.5,0.70,1.0
Blake Griffin," PF,C",BKN ,Healthy,17.0,7.0,6.0,0.0,2.0,.462,.667,3.0,3.0,1,32.3,2.0,3.0,2.00,3.0
Chris Duarte, SG,IND ,Healthy,17.0,4.0,2.0,0.0,2.0,.714,.800,3.0,1.0,1,18.6,4.0,2.0,2.00,1.0
