Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Darius Garland," PG,SG",CLE , OUT ,22.0,4.0,8.0,0.0,2.0,.529,1.000,3.0,4.0,1,29.3,1.0,6.0,2.00,0.0
Obi Toppin," SF,PF",NYK ,Healthy,7.3,3.0,1.7,0.0,0.3,.667,1.000,0.7,0.7,3,12.4,1.3,2.0,1.50,1.7
Cole Anthony, PG,ORL , OUT ,22.0,5.0,11.0,1.0,1.0,.438,.889,0.0,1.0,1,36.9,8.0,7.0,11.00,3.0
Facundo Campazzo, PG,DEN ,Healthy,7.3,2.3,5.0,0.7,2.3,.286,.750,1.3,1.3,3,27.4,2.0,0.7,13.50,3.7
Sterling Brown," SG,SF",DAL ,Healthy,7.3,5.3,2.0,0.0,0.3,.471,.000,2.0,0.7,3,23.4,0.0,0.7,3.00,2.0
Evan Mobley," C,PF",CLE ,Healthy,22.0,7.0,0.0,0.0,0.0,.750,1.000,1.0,1.0,1,30.2,3.0,8.0,0.00,3.0
Kevin Porter," SG,SF,PG",HOU ,Healthy,22.0,5.0,9.0,1.0,1.0,.471,.500,5.0,4.0,1,34.9,1.0,3.0,2.30,5.0
Pat Connaughton," SG,SF",MIL ,Healthy,7.3,5.3,1.3,0.3,0.3,.692,.000,1.3,0.7,3,23.2,0.0,1.7,3.00,0.7
Josh Christopher, SG,HOU ,Healthy,7.3,1.3,1.3,0.0,1.0,.421,.833,0.3,2.7,3,22.0,1.7,2.3,1.70,1.3
Jeff Green," SF,PF",DEN ,Healthy,7.3,3.3,0.7,1.0,0.3,.526,.500,0.3,1.0,3,24.8,0.3,3.0,2.00,2.3
Hassani Gravett," PG,SG",ORL ,Healthy,7.3,2.7,1.7,0.3,1.0,.471,.500,1.7,1.3,3,22.9,0.3,1.0,4.50,1.3
Cory Joseph, PG,DET ,Healthy,21.0,6.0,9.0,0.0,1.0,.467,1.000,5.0,4.0,1,42.1,2.0,2.0,2.30,3.0
Kyle Lowry, PG,MIA , OUT ,21.0,4.0,6.0,0.0,1.0,.600,1.000,2.0,1.0,1,37.8,1.0,7.0,6.00,5.0
Coby White," PG,SG",CHI ,Healthy,10.5,3.0,0.5,0.5,1.0,.381,1.000,1.5,1.5,2,29.2,1.0,2.5,0.50,4.5
Andrew Wiggins," SG,SF",GSW , OUT ,21.0,8.0,1.0,1.0,2.0,.400,.667,3.0,2.0,1,32.0,2.0,5.0,0.50,2.0
Nassir Little, SF,POR ,Healthy,20.0,10.0,2.0,3.0,2.0,.500,.571,2.0,0.0,1,33.9,4.0,5.0,0.00,4.0
De'Anthony Melton," PG,SG",MEM , OUT ,20.0,9.0,1.0,1.0,2.0,.615,.750,1.0,4.0,1,25.4,3.0,7.0,0.30,3.0
Kevon Looney," PF,C",GSW ,Healthy,6.7,6.7,2.3,1.0,0.3,.563,1.000,0.0,1.0,3,24.1,0.7,3.0,7.00,4.3
Juan Toscano-Anderson," SF,PF",GSW ,Healthy,6.7,2.7,3.7,0.3,1.7,.500,.375,0.3,2.0,3,22.3,1.0,2.3,3.20,2.7
Brandon Clarke," SF,PF,C",MEM ,Healthy,10.0,3.5,1.0,0.5,0.0,.800,.800,0.0,0.5,2,12.9,2.0,4.0,0.00,1.5
Naz Reid, C,MIN ,Healthy,10.0,7.5,0.5,1.0,0.5,.389,.667,1.0,0.5,2,24.0,2.0,2.5,1.00,3.0
Dean Wade," PF,C",CLE ,Healthy,10.0,4.5,2.5,0.5,0.5,.421,1.000,1.5,0.0,2,30.7,0.5,2.5,0.00,2.5
Wesley Matthews," SG,SF",MIL ,Healthy,6.3,2.3,0.7,0.3,0.0,.467,1.000,1.3,0.0,3,16.8,0.3,1.0,0.00,1.0
Gary Trent," SG,SF",TOR ,Healthy,19.0,1.0,7.0,0.0,2.0,.250,.600,4.0,3.0,1,41.3,3.0,2.0,2.30,5.0
Svi Mykhailiuk," SF,SG",TOR ,Healthy,9.5,2.5,3.5,0.5,1.5,.389,.667,1.5,1.0,2,32.5,1.0,2.0,2.00,1.5
Robert Williams," C,PF",BOS ,Healthy,9.5,12.5,2.0,3.0,0.5,.615,.750,0.0,1.5,2,30.3,1.5,4.0,2.00,4.5
Marcus Smart," PG,SG",BOS , OUT ,19.0,2.0,7.0,0.0,1.0,.429,1.000,3.0,4.0,1,40.3,4.0,3.0,1.80,3.0
D'Angelo Russell," PG,SG",MIN , OUT ,19.0,7.0,14.0,0.0,0.0,.350,1.000,4.0,3.0,1,41.2,1.0,3.0,4.70,3.0
JaMychal Green," PF,C",DEN ,Healthy,6.3,3.7,0.3,0.0,0.0,.667,.800,1.0,0.7,3,12.0,1.3,1.0,1.00,1.7
Marquese Chriss," PF,C",DAL ,Healthy,6.3,3.7,0.0,0.3,0.7,.533,.750,0.0,2.0,3,11.0,1.0,2.7,0.00,4.3
Davon Reed, SG,DEN ,Healthy,9.5,2.0,1.5,0.5,1.0,.727,.000,1.5,0.0,2,22.1,0.0,2.5,0.00,1.5
Luke Kennard," SG,SF",LAC ,Healthy,9.0,2.0,0.0,0.0,0.0,.353,.500,1.5,0.0,2,20.9,1.5,1.5,0.00,2.5
Theo Maledon, PG,OKC ,Healthy,9.0,2.5,0.5,0.0,1.0,.308,.875,1.5,0.5,2,21.6,3.5,0.5,1.00,2.0
Justin Holiday," SG,SF",IND ,Healthy,9.0,3.5,2.0,0.0,1.5,.438,.000,2.0,1.5,2,32.6,0.0,1.5,3.00,2.0
Mason Plumlee," PF,C",CHA ,Healthy,9.0,7.5,2.0,2.0,1.5,.800,.667,0.0,1.0,2,24.3,1.0,4.0,1.50,2.5
John Konchar," SG,PG",MEM ,Healthy,6.0,8.7,2.0,0.7,1.7,.500,1.000,0.7,0.3,3,24.4,0.7,1.7,2.00,1.3
Rudy Gay," SF,PF",UTH ,Healthy,6.0,4.7,1.0,0.0,0.3,.462,.800,0.7,0.7,3,18.8,1.3,1.3,3.00,2.3
Theo Pinson," SF,SG",DAL ,Healthy,6.0,3.0,0.7,0.0,0.0,.429,1.000,1.3,0.3,3,16.5,0.7,0.7,1.00,2.0
Greg Monroe," PF,C",MIN ,Healthy,9.0,7.5,5.0,2.0,1.0,.667,.667,0.0,1.5,2,23.7,1.0,4.0,7.00,3.0
Keon Johnson," SF,SG",LAC , G-League ,9.0,2.5,1.5,0.5,1.0,.353,.571,1.0,1.0,2,14.2,2.0,2.0,3.00,2.5
Bones Hyland," PG,SG",DEN ,Healthy,6.0,2.0,2.7,0.0,0.0,.241,.500,1.0,1.0,3,17.8,0.3,1.3,3.50,3.0
Jae'Sean Tate," SF,PF",HOU , OUT ,18.0,4.0,1.0,0.0,0.0,.600,.625,1.0,1.0,1,28.9,5.0,5.0,1.00,2.0
Terance Mann," SF,SG",LAC ,Healthy,8.5,4.5,4.5,0.0,0.0,.389,.000,1.5,1.0,2,31.2,0.0,2.0,4.00,3.0
Amir Coffey," SF,SG",LAC , G-League ,8.5,6.5,1.0,1.0,1.5,.333,.750,1.0,0.5,2,24.3,1.5,2.0,1.00,1.0
Trevelin Queen, G,HOU ,Healthy,17.0,6.0,0.0,0.0,4.0,.462,1.000,4.0,3.0,1,28.5,1.0,2.0,0.00,3.0
George Hill," PG,SG",MIL ,Healthy,5.7,2.0,2.0,0.3,0.3,.539,.000,1.0,0.3,3,23.8,0.0,1.3,3.00,1.3
RJ Barrett," SG,SF",NYK ,Healthy,8.5,3.0,3.5,1.0,0.0,.280,.200,1.0,2.0,2,25.0,0.5,2.5,0.80,2.0
Josh Giddey," PG,SG",OKC , OUT ,8.5,8.0,6.0,0.5,0.5,.280,.667,0.5,2.0,2,29.2,1.0,3.0,5.30,0.0
Willy Hernangomez, C,NOR ,Healthy,5.7,8.3,0.7,0.0,0.3,.227,.636,0.0,0.7,3,20.6,2.3,1.7,2.00,1.3
Jeremy Lamb," SG,SF",IND , OUT ,16.0,5.0,5.0,1.0,0.0,.546,.500,3.0,1.0,1,22.6,1.0,3.0,5.00,2.0
Stanley Johnson," PF,SF",LAL ,Healthy,8.0,3.0,1.5,0.0,1.0,.417,1.000,0.5,0.0,2,29.7,2.5,2.0,0.00,5.0
Miles Bridges," SF,PF",CHA , OUT ,16.0,5.0,3.0,0.0,0.0,.429,.750,1.0,2.0,1,26.2,3.0,5.0,1.50,2.0
Serge Ibaka," PF,C",LAC ,Healthy,8.0,4.5,2.0,1.5,0.5,.583,.500,0.5,2.0,2,16.3,0.5,3.0,2.00,3.5
