Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Franz Wagner,SF,20,ORL,36,36,32.5,5.9,13.1,.449,1.4,3.8,.370,4.5,9.4,.481,.502,2.6,3.1,.838,1.2,3.4,4.7,2.7,1.1,0.5,1.5,2.3,15.8
Moritz Wagner,C,24,ORL,28,0,12.1,2.1,5.0,.429,1.0,3.0,.341,1.1,2.0,.564,.532,1.4,1.8,.784,0.6,1.9,2.5,0.9,0.2,0.2,0.8,1.9,6.8
Ish Wainright,PF,27,PHO,12,0,6.0,0.6,2.2,.269,0.3,1.3,.188,0.3,0.8,.400,.327,0.0,0.2,.000,0.7,0.6,1.3,0.4,0.3,0.1,0.4,1.3,1.4
Kemba Walker,PG,31,NYK,24,24,27.3,4.7,11.4,.414,2.4,6.0,.403,2.3,5.4,.426,.520,1.8,2.1,.840,0.5,3.1,3.5,3.6,0.8,0.2,1.4,1.2,13.6
Lonnie Walker IV,SG,23,SAS,33,3,22.5,4.1,10.3,.400,1.6,5.2,.312,2.5,5.2,.488,.478,1.4,1.6,.865,0.2,2.6,2.8,2.4,0.6,0.2,1.1,1.3,11.2
M.J. Walker,G,23,PHO,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Walton,G,26,DET,3,3,36.0,2.0,8.7,.231,1.0,4.3,.231,1.0,4.3,.231,.288,1.3,1.3,1.000,0.7,2.7,3.3,7.0,2.3,1.3,3.7,2.7,6.3
Brad Wanamaker,PG,32,TOT,23,2,13.9,1.2,3.3,.364,0.2,0.7,.235,1.0,2.6,.400,.390,1.0,1.1,.920,0.3,1.4,1.7,2.4,0.3,0.3,1.0,2.0,3.6
Brad Wanamaker,PG,32,IND,22,1,13.3,1.2,3.3,.361,0.2,0.8,.235,1.0,2.5,.400,.389,0.9,1.0,.909,0.3,1.3,1.6,2.2,0.2,0.3,1.0,1.9,3.5
Brad Wanamaker,G,32,WAS,1,1,27.0,2.0,5.0,.400,0.0,0.0,,2.0,5.0,.400,.400,3.0,3.0,1.000,0.0,4.0,4.0,7.0,2.0,0.0,0.0,3.0,7.0
Duane Washington Jr.,PG,21,IND,5,1,9.4,1.2,4.2,.286,0.2,2.0,.100,1.0,2.2,.455,.310,0.4,0.4,1.000,0.2,1.2,1.4,0.8,0.4,0.2,0.6,0.0,3.0
P.J. Washington,PF,23,CHO,21,3,25.1,3.9,8.4,.460,2.0,4.8,.430,1.8,3.6,.500,.582,1.1,1.5,.750,1.3,4.0,5.2,2.3,0.7,1.1,1.1,2.3,10.9
Yuta Watanabe,SF,27,TOR,13,2,21.3,2.8,6.8,.416,1.4,3.7,.375,1.5,3.2,.463,.517,0.8,1.5,.550,1.0,3.5,4.5,1.1,0.5,0.6,0.8,1.7,7.9
Tremont Waters,G,24,TOT,3,0,16.7,1.3,4.7,.286,0.7,3.0,.222,0.7,1.7,.400,.357,0.0,0.0,,0.0,1.3,1.3,2.3,1.7,0.0,1.3,1.3,3.3
Tremont Waters,G,24,TOR,2,0,21.0,1.5,6.0,.250,1.0,4.5,.222,0.5,1.5,.333,.333,0.0,0.0,,0.0,2.0,2.0,3.5,2.0,0.0,2.0,1.0,4.0
Tremont Waters,G,24,WAS,1,0,8.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
Trendon Watford,SF,21,POR,9,0,4.9,0.8,1.6,.500,0.0,0.0,,0.8,1.6,.500,.500,0.2,0.3,.667,0.4,0.9,1.3,0.4,0.2,0.3,0.3,0.3,1.8
Paul Watson,SF,27,OKC,8,3,19.0,1.3,4.0,.313,0.5,2.9,.174,0.8,1.1,.667,.375,0.1,0.3,.500,0.4,2.8,3.1,0.9,0.4,0.4,0.5,1.3,3.1
Quinndary Weatherspoon,SG,25,GSW,1,0,14.0,3.0,3.0,1.000,0.0,0.0,,3.0,3.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,6.0
Russell Westbrook,PG,33,LAL,37,37,35.9,7.4,16.3,.455,1.1,3.6,.313,6.3,12.7,.496,.490,3.5,5.4,.652,1.4,6.8,8.2,8.4,1.2,0.2,4.6,3.1,19.5
Coby White,PG,21,CHI,16,6,23.7,3.7,9.1,.407,1.8,4.9,.354,1.9,4.1,.470,.503,1.3,1.7,.741,0.2,2.4,2.6,2.4,0.5,0.3,1.1,2.3,10.4
Derrick White,SG,27,SAS,35,35,30.8,5.0,11.9,.423,1.5,5.2,.290,3.5,6.7,.528,.487,2.9,3.3,.863,0.5,3.0,3.5,5.6,1.2,0.9,1.6,2.2,14.5
